premise,hypothesis,label
1-2 packs of cigarettes per day.,The person has access to transportation.,False
1-2 packs of cigarettes per day.,The person was a smoker in the past.,False
1-2 packs of cigarettes per day.,The person is able to obtain food on a consistent basis.,False
1-2 packs of cigarettes per day.,The person is currently a smoker.,True
1-2 packs of cigarettes per day.,The person currently drinks alcohol.,False
1-2 packs of cigarettes per day.,The person drank alcohol in the past.,False
1-2 packs of cigarettes per day.,The person is employed part time.,False
1-2 packs of cigarettes per day.,The person is employed.,False
1-2 packs of cigarettes per day.,The person lives in a housing facility.,False
1-2 packs of cigarettes per day.,The person lives in their own or their family's home.,False
1-2 packs of cigarettes per day.,The person is a homemaker.,False
1-2 packs of cigarettes per day.,The person wasn't a smoker in the past.,False
1-2 packs of cigarettes per day.,The person is currently not a smoker.,False
1-2 packs of cigarettes per day.,The person currently does not drink alcohol.,False
1-2 packs of cigarettes per day.,The person did not drink alcohol in the past.,False
1-2 packs of cigarettes per day.,The person is not employed.,False
1-2 packs of cigarettes per day.,The person did not use cocaine in the past.,False
1-2 packs of cigarettes per day.,The person wasn't a drug user in the past.,False
1-2 packs of cigarettes per day.,The person did not use marijuana in the past.,False
1-2 packs of cigarettes per day.,The person did not use opioids in the past.,False
1-2 packs of cigarettes per day.,The person does not use cocaine.,False
1-2 packs of cigarettes per day.,The person is not a drug user.,False
1-2 packs of cigarettes per day.,The person does not use marijuana.,False
1-2 packs of cigarettes per day.,The person does not use opioids.,False
1-2 packs of cigarettes per day.,The person lives in their own or their family's home.,False
1-2 packs of cigarettes per day.,The person is retired due to age or preference.,False
1-2 packs of cigarettes per day.,The person is retired due to disability.,False
1-2 packs of cigarettes per day.,The person is retired due to an unknown reason.,False
1-2 packs of cigarettes per day.,The person is a student.,False
1-2 packs of cigarettes per day.,The person used cocaine in the past.,False
1-2 packs of cigarettes per day.,The person was a drug user in the past.,False
1-2 packs of cigarettes per day.,The person used marijuana in the past.,False
1-2 packs of cigarettes per day.,The person used opioids in the past.,False
1-2 packs of cigarettes per day.,The person uses cocaine.,False
1-2 packs of cigarettes per day.,The person is a drug user.,False
1-2 packs of cigarettes per day.,The person uses marijuana.,False
1-2 packs of cigarettes per day.,The person uses opioids.,False
1-2 ppd Cigarettes,The person has access to transportation.,False
1-2 ppd Cigarettes,The person was a smoker in the past.,False
1-2 ppd Cigarettes,The person is able to obtain food on a consistent basis.,False
1-2 ppd Cigarettes,The person is currently a smoker.,True
1-2 ppd Cigarettes,The person currently drinks alcohol.,False
1-2 ppd Cigarettes,The person drank alcohol in the past.,False
1-2 ppd Cigarettes,The person is employed part time.,False
1-2 ppd Cigarettes,The person is employed.,False
1-2 ppd Cigarettes,The person lives in a housing facility.,False
1-2 ppd Cigarettes,The person lives in their own or their family's home.,False
1-2 ppd Cigarettes,The person is a homemaker.,False
1-2 ppd Cigarettes,The person wasn't a smoker in the past.,False
1-2 ppd Cigarettes,The person is currently not a smoker.,False
1-2 ppd Cigarettes,The person currently does not drink alcohol.,False
1-2 ppd Cigarettes,The person did not drink alcohol in the past.,False
1-2 ppd Cigarettes,The person is not employed.,False
1-2 ppd Cigarettes,The person did not use cocaine in the past.,False
1-2 ppd Cigarettes,The person wasn't a drug user in the past.,False
1-2 ppd Cigarettes,The person did not use marijuana in the past.,False
1-2 ppd Cigarettes,The person did not use opioids in the past.,False
1-2 ppd Cigarettes,The person does not use cocaine.,False
1-2 ppd Cigarettes,The person is not a drug user.,False
1-2 ppd Cigarettes,The person does not use marijuana.,False
1-2 ppd Cigarettes,The person does not use opioids.,False
1-2 ppd Cigarettes,The person lives in their own or their family's home.,False
1-2 ppd Cigarettes,The person is retired due to age or preference.,False
1-2 ppd Cigarettes,The person is retired due to disability.,False
1-2 ppd Cigarettes,The person is retired due to an unknown reason.,False
1-2 ppd Cigarettes,The person is a student.,False
1-2 ppd Cigarettes,The person used cocaine in the past.,False
1-2 ppd Cigarettes,The person was a drug user in the past.,False
1-2 ppd Cigarettes,The person used marijuana in the past.,False
1-2 ppd Cigarettes,The person used opioids in the past.,False
1-2 ppd Cigarettes,The person uses cocaine.,False
1-2 ppd Cigarettes,The person is a drug user.,False
1-2 ppd Cigarettes,The person uses marijuana.,False
1-2 ppd Cigarettes,The person uses opioids.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person has access to transportation.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person was a smoker in the past.,True
10+pack-year h/o Tobacco use; quit 2 years ago,The person is able to obtain food on a consistent basis.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is currently a smoker.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person currently drinks alcohol.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person drank alcohol in the past.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is employed part time.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is employed.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person lives in a housing facility.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person lives in their own or their family's home.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is a homemaker.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person wasn't a smoker in the past.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is currently not a smoker.,True
10+pack-year h/o Tobacco use; quit 2 years ago,The person currently does not drink alcohol.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person did not drink alcohol in the past.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is not employed.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person did not use cocaine in the past.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person wasn't a drug user in the past.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person did not use marijuana in the past.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person did not use opioids in the past.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person does not use cocaine.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is not a drug user.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person does not use marijuana.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person does not use opioids.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person lives in their own or their family's home.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is retired due to age or preference.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is retired due to disability.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is retired due to an unknown reason.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is a student.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person used cocaine in the past.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person was a drug user in the past.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person used marijuana in the past.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person used opioids in the past.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person uses cocaine.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person is a drug user.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person uses marijuana.,False
10+pack-year h/o Tobacco use; quit 2 years ago,The person uses opioids.,False
2-4 Beers/day,The person has access to transportation.,False
2-4 Beers/day,The person was a smoker in the past.,False
2-4 Beers/day,The person is able to obtain food on a consistent basis.,False
2-4 Beers/day,The person is currently a smoker.,False
2-4 Beers/day,The person currently drinks alcohol.,True
2-4 Beers/day,The person drank alcohol in the past.,False
2-4 Beers/day,The person is employed part time.,False
2-4 Beers/day,The person is employed.,False
2-4 Beers/day,The person lives in a housing facility.,False
2-4 Beers/day,The person lives in their own or their family's home.,False
2-4 Beers/day,The person is a homemaker.,False
2-4 Beers/day,The person wasn't a smoker in the past.,False
2-4 Beers/day,The person is currently not a smoker.,False
2-4 Beers/day,The person currently does not drink alcohol.,False
2-4 Beers/day,The person did not drink alcohol in the past.,False
2-4 Beers/day,The person is not employed.,False
2-4 Beers/day,The person did not use cocaine in the past.,False
2-4 Beers/day,The person wasn't a drug user in the past.,False
2-4 Beers/day,The person did not use marijuana in the past.,False
2-4 Beers/day,The person did not use opioids in the past.,False
2-4 Beers/day,The person does not use cocaine.,False
2-4 Beers/day,The person is not a drug user.,False
2-4 Beers/day,The person does not use marijuana.,False
2-4 Beers/day,The person does not use opioids.,False
2-4 Beers/day,The person lives in their own or their family's home.,False
2-4 Beers/day,The person is retired due to age or preference.,False
2-4 Beers/day,The person is retired due to disability.,False
2-4 Beers/day,The person is retired due to an unknown reason.,False
2-4 Beers/day,The person is a student.,False
2-4 Beers/day,The person used cocaine in the past.,False
2-4 Beers/day,The person was a drug user in the past.,False
2-4 Beers/day,The person used marijuana in the past.,False
2-4 Beers/day,The person used opioids in the past.,False
2-4 Beers/day,The person uses cocaine.,False
2-4 Beers/day,The person is a drug user.,False
2-4 Beers/day,The person uses marijuana.,False
2-4 Beers/day,The person uses opioids.,False
2ppd smoker since his teens; quit 2 years ago,The person has access to transportation.,False
2ppd smoker since his teens; quit 2 years ago,The person was a smoker in the past.,True
2ppd smoker since his teens; quit 2 years ago,The person is able to obtain food on a consistent basis.,False
2ppd smoker since his teens; quit 2 years ago,The person is currently a smoker.,False
2ppd smoker since his teens; quit 2 years ago,The person currently drinks alcohol.,False
2ppd smoker since his teens; quit 2 years ago,The person drank alcohol in the past.,False
2ppd smoker since his teens; quit 2 years ago,The person is employed part time.,False
2ppd smoker since his teens; quit 2 years ago,The person is employed.,False
2ppd smoker since his teens; quit 2 years ago,The person lives in a housing facility.,False
2ppd smoker since his teens; quit 2 years ago,The person lives in their own or their family's home.,False
2ppd smoker since his teens; quit 2 years ago,The person is a homemaker.,False
2ppd smoker since his teens; quit 2 years ago,The person wasn't a smoker in the past.,False
2ppd smoker since his teens; quit 2 years ago,The person is currently not a smoker.,True
2ppd smoker since his teens; quit 2 years ago,The person currently does not drink alcohol.,False
2ppd smoker since his teens; quit 2 years ago,The person did not drink alcohol in the past.,False
2ppd smoker since his teens; quit 2 years ago,The person is not employed.,False
2ppd smoker since his teens; quit 2 years ago,The person did not use cocaine in the past.,False
2ppd smoker since his teens; quit 2 years ago,The person wasn't a drug user in the past.,False
2ppd smoker since his teens; quit 2 years ago,The person did not use marijuana in the past.,False
2ppd smoker since his teens; quit 2 years ago,The person did not use opioids in the past.,False
2ppd smoker since his teens; quit 2 years ago,The person does not use cocaine.,False
2ppd smoker since his teens; quit 2 years ago,The person is not a drug user.,False
2ppd smoker since his teens; quit 2 years ago,The person does not use marijuana.,False
2ppd smoker since his teens; quit 2 years ago,The person does not use opioids.,False
2ppd smoker since his teens; quit 2 years ago,The person lives in their own or their family's home.,False
2ppd smoker since his teens; quit 2 years ago,The person is retired due to age or preference.,False
2ppd smoker since his teens; quit 2 years ago,The person is retired due to disability.,False
2ppd smoker since his teens; quit 2 years ago,The person is retired due to an unknown reason.,False
2ppd smoker since his teens; quit 2 years ago,The person is a student.,False
2ppd smoker since his teens; quit 2 years ago,The person used cocaine in the past.,False
2ppd smoker since his teens; quit 2 years ago,The person was a drug user in the past.,False
2ppd smoker since his teens; quit 2 years ago,The person used marijuana in the past.,False
2ppd smoker since his teens; quit 2 years ago,The person used opioids in the past.,False
2ppd smoker since his teens; quit 2 years ago,The person uses cocaine.,False
2ppd smoker since his teens; quit 2 years ago,The person is a drug user.,False
2ppd smoker since his teens; quit 2 years ago,The person uses marijuana.,False
2ppd smoker since his teens; quit 2 years ago,The person uses opioids.,False
50+pack-yr cigarette use.,The person has access to transportation.,False
50+pack-yr cigarette use.,The person was a smoker in the past.,False
50+pack-yr cigarette use.,The person is able to obtain food on a consistent basis.,False
50+pack-yr cigarette use.,The person is currently a smoker.,True
50+pack-yr cigarette use.,The person currently drinks alcohol.,False
50+pack-yr cigarette use.,The person drank alcohol in the past.,False
50+pack-yr cigarette use.,The person is employed part time.,False
50+pack-yr cigarette use.,The person is employed.,False
50+pack-yr cigarette use.,The person lives in a housing facility.,False
50+pack-yr cigarette use.,The person lives in their own or their family's home.,False
50+pack-yr cigarette use.,The person is a homemaker.,False
50+pack-yr cigarette use.,The person wasn't a smoker in the past.,False
50+pack-yr cigarette use.,The person is currently not a smoker.,False
50+pack-yr cigarette use.,The person currently does not drink alcohol.,False
50+pack-yr cigarette use.,The person did not drink alcohol in the past.,False
50+pack-yr cigarette use.,The person is not employed.,False
50+pack-yr cigarette use.,The person did not use cocaine in the past.,False
50+pack-yr cigarette use.,The person wasn't a drug user in the past.,False
50+pack-yr cigarette use.,The person did not use marijuana in the past.,False
50+pack-yr cigarette use.,The person did not use opioids in the past.,False
50+pack-yr cigarette use.,The person does not use cocaine.,False
50+pack-yr cigarette use.,The person is not a drug user.,False
50+pack-yr cigarette use.,The person does not use marijuana.,False
50+pack-yr cigarette use.,The person does not use opioids.,False
50+pack-yr cigarette use.,The person lives in their own or their family's home.,False
50+pack-yr cigarette use.,The person is retired due to age or preference.,False
50+pack-yr cigarette use.,The person is retired due to disability.,False
50+pack-yr cigarette use.,The person is retired due to an unknown reason.,False
50+pack-yr cigarette use.,The person is a student.,False
50+pack-yr cigarette use.,The person used cocaine in the past.,False
50+pack-yr cigarette use.,The person was a drug user in the past.,False
50+pack-yr cigarette use.,The person used marijuana in the past.,False
50+pack-yr cigarette use.,The person used opioids in the past.,False
50+pack-yr cigarette use.,The person uses cocaine.,False
50+pack-yr cigarette use.,The person is a drug user.,False
50+pack-yr cigarette use.,The person uses marijuana.,False
50+pack-yr cigarette use.,The person uses opioids.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person has access to transportation.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person was a smoker in the past.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is able to obtain food on a consistent basis.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is currently a smoker.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person currently drinks alcohol.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person drank alcohol in the past.,True
